[2026-08-21 11:51:56] [WARNING] [FAILED_LOGIN] User: admin" or "1"="1 | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Failed login attempt (unknown username): admin" or "1"="1
[2026-08-22 22:21:59] [WARNING] [FAILED_LOGIN] User: justine@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Failed login attempt (bad password) for user: justine@beachclub.com
[2026-08-22 22:22:51] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 22:26:24] [INFO] [STAFF_CREATED] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/admin_staff | Added receptionist account: Jub@beachclub.com
[2026-08-22 22:26:40] [INFO] [LOGIN_SUCCESS] User: Jub@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (receptionist)
[2026-08-23 13:06:16] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-23 13:11:38] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-23 14:48:11] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-23 15:13:36] [INFO] [STAFF_CREATED] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/admin_staff | Added receptionist account: Hermae@beachclub.com
[2026-08-23 15:13:55] [INFO] [LOGIN_SUCCESS] User: Hermae@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (receptionist)
[2026-08-23 15:14:24] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-23 15:22:16] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-24 20:31:04] [WARNING] [FAILED_LOGIN] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Failed login attempt (bad password) for user: admin@beachclub.com
[2026-08-24 20:31:16] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-24 20:41:51] [INFO] [LOGIN_SUCCESS] User: justine@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (receptionist)
[2026-08-24 20:42:16] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-24 22:42:51] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-24 23:07:40] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-24 23:09:24] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-24 23:10:52] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-24 23:16:17] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-25 10:18:57] [WARNING] [FAILED_LOGIN] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Failed login attempt (bad password) for user: admin@beachclub.com
[2026-08-25 10:20:13] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-25 17:57:00] [INFO] [MFA_OTP_SENT] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | OTP dispatched for admin MFA (step 2)
[2026-08-25 17:58:23] [INFO] [MFA_OTP_SENT] User: justine@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | OTP dispatched for admin MFA (step 2)
[2026-08-25 18:13:28] [INFO] [MFA_OTP_SENT] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | OTP dispatched for admin MFA (step 2)
[2026-08-25 18:13:47] [INFO] [LOGIN_SUCCESS_MFA] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/verify_otp | Admin completed MFA and logged in (admin)
[2026-08-26 13:45:49] [INFO] [MFA_OTP_SENT] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | OTP dispatched for admin MFA (step 2)
[2026-08-26 13:46:30] [INFO] [LOGIN_SUCCESS_MFA] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/verify_otp | Admin completed MFA and logged in (admin)
